,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness_scaled,tempo_scaled,key_scaled,mode_weighted,label
0,0.754,0.635,0.0702,0.0326,0.0337,0.10800000000000001,0.47600000000000003,0.8019531456574239,0.5458357971344099,0.5454545454545454,0.0,55
1,0.736,0.924,0.134,0.009909999999999999,0.0105,0.111,0.7709999999999999,0.8037511678330308,0.5550875596997953,0.09090909090909091,0.09090909090909091,3
2,0.7859999999999999,0.7240000000000001,0.134,0.0127,0.00472,0.221,0.358,0.7977225052442313,0.5460131908119172,0.6363636363636364,0.09090909090909091,75
3,0.586,0.8170000000000001,0.0545,0.0543,0.9570000000000001,0.11900000000000001,0.19399999999999998,0.6932080593699872,0.5459449624744145,0.18181818181818182,0.0,48
4,0.682,0.8859999999999999,0.0763,0.0015300000000000001,0.00028,0.0919,0.649,0.8113134375716123,0.4730361610188766,0.36363636363636365,0.0,75
5,0.9420000000000001,0.6970000000000001,0.188,0.0762,0.000245,0.0494,0.723,0.8244636781892859,0.5457402774619059,0.45454545454545453,0.0,67
6,0.6940000000000001,0.677,0.0488,0.499,0.00010800000000000001,0.17800000000000002,0.22,0.773378695199986,0.5589128951557881,0.0,0.0,78
7,0.8440000000000001,0.384,0.385,0.627,0.0,0.35700000000000004,0.331,0.6647746302596557,0.5579940868774165,0.9090909090909091,0.09090909090909091,86
8,0.7290000000000001,0.897,0.0541,0.00932,0.0005740000000000001,0.152,0.9209999999999999,0.8093743940488991,0.5458085057994088,1.0,0.0,41
9,0.892,0.6970000000000001,0.2,0.00132,0.611,0.0922,0.823,0.7675615646318461,0.5455719808960655,1.0,0.0,54
10,0.698,0.892,0.0767,0.00747,0.252,0.272,0.71,0.8116307356026018,0.5683875369570162,0.09090909090909091,0.09090909090909091,57
11,0.7170000000000001,0.87,0.128,0.000647,0.139,0.0623,0.345,0.8035748911491477,0.5638662724584945,0.5454545454545454,0.0,7
12,0.831,0.6829999999999999,0.105,0.0277,2.65e-05,0.617,0.55,0.7883269579932664,0.5462406186035934,0.09090909090909091,0.09090909090909091,80
13,0.5479999999999999,0.547,0.127,0.0201,0.45899999999999996,0.135,0.34299999999999997,0.7689365227661338,0.5455219467818967,0.9090909090909091,0.09090909090909091,46
14,0.754,0.635,0.0702,0.0326,0.0337,0.10800000000000001,0.47600000000000003,0.8019531456574239,0.5458357971344099,0.5454545454545454,0.0,55
15,0.736,0.924,0.134,0.009909999999999999,0.0105,0.111,0.7709999999999999,0.8037511678330308,0.5550875596997953,0.09090909090909091,0.09090909090909091,3
16,0.7859999999999999,0.7240000000000001,0.134,0.0127,0.00472,0.221,0.358,0.7977225052442313,0.5460131908119172,0.6363636363636364,0.09090909090909091,75
17,0.586,0.8170000000000001,0.0545,0.0543,0.9570000000000001,0.11900000000000001,0.19399999999999998,0.6932080593699872,0.5459449624744145,0.18181818181818182,0.0,48
18,0.682,0.8859999999999999,0.0763,0.0015300000000000001,0.00028,0.0919,0.649,0.8113134375716123,0.4730361610188766,0.36363636363636365,0.0,75
19,0.9420000000000001,0.6970000000000001,0.188,0.0762,0.000245,0.0494,0.723,0.8244636781892859,0.5457402774619059,0.45454545454545453,0.0,67
20,0.6940000000000001,0.677,0.0488,0.499,0.00010800000000000001,0.17800000000000002,0.22,0.773378695199986,0.5589128951557881,0.0,0.0,78
21,0.8440000000000001,0.384,0.385,0.627,0.0,0.35700000000000004,0.331,0.6647746302596557,0.5579940868774165,0.9090909090909091,0.09090909090909091,86
22,0.7290000000000001,0.897,0.0541,0.00932,0.0005740000000000001,0.152,0.9209999999999999,0.8093743940488991,0.5458085057994088,1.0,0.0,41
23,0.892,0.6970000000000001,0.2,0.00132,0.611,0.0922,0.823,0.7675615646318461,0.5455719808960655,1.0,0.0,54
24,0.698,0.892,0.0767,0.00747,0.252,0.272,0.71,0.8116307356026018,0.5683875369570162,0.09090909090909091,0.09090909090909091,57
25,0.7170000000000001,0.87,0.128,0.000647,0.139,0.0623,0.345,0.8035748911491477,0.5638662724584945,0.5454545454545454,0.0,7
26,0.831,0.6829999999999999,0.105,0.0277,2.65e-05,0.617,0.55,0.7883269579932664,0.5462406186035934,0.09090909090909091,0.09090909090909091,80
27,0.5479999999999999,0.547,0.127,0.0201,0.45899999999999996,0.135,0.34299999999999997,0.7689365227661338,0.5455219467818967,0.9090909090909091,0.09090909090909091,46
28,0.7040000000000001,0.0576,0.0838,0.927,0.9079999999999999,0.132,0.0617,0.6208641083043946,0.5568978849215375,0.45454545454545453,0.09090909090909091,63
29,0.7659999999999999,0.73,0.0405,0.000197,0.848,0.0799,0.41,0.7824569444199615,0.5571071184898795,0.9090909090909091,0.0,33
30,0.655,0.769,0.0542,0.000508,0.853,0.111,0.217,0.765393361420085,0.5631748919717989,0.09090909090909091,0.0,48
31,0.818,0.8590000000000001,0.0463,0.127,0.335,0.0997,0.82,0.7834440938497066,0.5788719581532864,1.0,0.0,54
32,0.754,0.731,0.0384,0.0143,0.875,0.0907,0.391,0.7735373442154806,0.5678826472594951,0.45454545454545453,0.09090909090909091,88
33,0.81,0.8740000000000001,0.0848,0.0403,0.7829999999999999,0.282,0.9329999999999999,0.7833207001709883,0.5676324766886514,0.5454545454545454,0.0,32
34,0.741,0.865,0.0518,0.00266,0.511,0.065,0.8109999999999999,0.7489291191454107,0.5682146918353423,0.5454545454545454,0.0,69
35,0.809,0.79,0.0764,0.000263,0.836,0.0404,0.396,0.7912531509457245,0.5807004775983625,1.0,0.0,33
36,0.695,0.935,0.0435,0.0192,0.5539999999999999,0.209,0.498,0.7784202083590404,0.5692426654537185,0.18181818181818182,0.09090909090909091,48
37,0.7440000000000001,0.598,0.0456,0.0339,0.000396,0.055999999999999994,0.42200000000000004,0.7634366902289834,0.5605549238116898,0.5454545454545454,0.0,55
38,0.8420000000000001,0.8390000000000001,0.053,0.0278,0.85,0.249,0.7020000000000001,0.7651465740626487,0.5652490334318854,0.45454545454545453,0.09090909090909091,88
39,0.7040000000000001,0.0576,0.0838,0.927,0.9079999999999999,0.132,0.0617,0.6208641083043946,0.5568978849215375,0.45454545454545453,0.09090909090909091,63
40,0.7659999999999999,0.73,0.0405,0.000197,0.848,0.0799,0.41,0.7824569444199615,0.5571071184898795,0.9090909090909091,0.0,33
41,0.655,0.769,0.0542,0.000508,0.853,0.111,0.217,0.765393361420085,0.5631748919717989,0.09090909090909091,0.0,48
42,0.818,0.8590000000000001,0.0463,0.127,0.335,0.0997,0.82,0.7834440938497066,0.5788719581532864,1.0,0.0,54
43,0.754,0.731,0.0384,0.0143,0.875,0.0907,0.391,0.7735373442154806,0.5678826472594951,0.45454545454545453,0.09090909090909091,88
44,0.81,0.8740000000000001,0.0848,0.0403,0.7829999999999999,0.282,0.9329999999999999,0.7833207001709883,0.5676324766886514,0.5454545454545454,0.0,32
45,0.741,0.865,0.0518,0.00266,0.511,0.065,0.8109999999999999,0.7489291191454107,0.5682146918353423,0.5454545454545454,0.0,69
46,0.809,0.79,0.0764,0.000263,0.836,0.0404,0.396,0.7912531509457245,0.5807004775983625,1.0,0.0,33
47,0.7390000000000001,0.924,0.0443,0.0163,0.711,0.0772,0.48,0.7745597489820021,0.5692290197862179,0.18181818181818182,0.09090909090909091,48
48,0.7440000000000001,0.598,0.0456,0.0339,0.000396,0.055999999999999994,0.42200000000000004,0.7634366902289834,0.5605549238116898,0.5454545454545454,0.0,55
49,0.8420000000000001,0.8390000000000001,0.053,0.0278,0.85,0.249,0.7020000000000001,0.7651465740626487,0.5652490334318854,0.45454545454545453,0.09090909090909091,88
50,0.733,0.833,0.0539,0.0237,0.0015,0.16699999999999998,0.741,0.820039133423822,0.5821605640209234,0.9090909090909091,0.0,41
51,0.46399999999999997,0.34700000000000003,0.252,0.9009999999999999,0.741,0.451,0.252,0.6340848595956213,0.5376120081874005,0.45454545454545453,0.09090909090909091,59
52,0.857,0.762,0.0535,0.00339,0.31,0.0643,0.804,0.8206384741490244,0.5458721855810781,0.09090909090909091,0.09090909090909091,44
53,0.774,0.889,0.0696,0.045,2.69e-06,0.131,0.8029999999999999,0.8126707680375117,0.6048942460768706,0.0,0.09090909090909091,13
54,0.701,0.855,0.0307,7.8e-05,0.204,0.102,0.9670000000000001,0.8294699360115637,0.5595042074141461,1.0,0.09090909090909091,41
55,0.695,0.857,0.0468,0.00179,0.718,0.128,0.251,0.8014595709425515,0.5457903115760746,0.18181818181818182,0.09090909090909091,48
56,0.825,0.7440000000000001,0.0564,0.0638,0.00214,0.10300000000000001,0.823,0.815667471663523,0.545863088469411,0.5454545454545454,0.0,67
57,0.637,0.6629999999999999,0.165,0.043,3.32e-05,0.14300000000000002,0.741,0.7995381550882265,0.5459722538094156,0.7272727272727273,0.09090909090909091,83
58,0.6609999999999999,0.914,0.0768,0.00161,0.00101,0.40700000000000003,0.893,0.7936328861781452,0.5638116897884922,0.45454545454545453,0.09090909090909091,9
59,0.685,0.909,0.043,0.16899999999999998,0.000663,0.9420000000000001,0.9620000000000001,0.7977225052442313,0.5457266317944053,0.0,0.09090909090909091,80
60,0.75,0.7929999999999999,0.261,0.00838,0.00793,0.316,0.723,0.8031165717710519,0.5366477143506937,0.8181818181818182,0.09090909090909091,53
61,0.77,0.721,0.0532,0.0138,0.505,0.0968,0.366,0.7910063635882882,0.5458085057994088,0.0,0.09090909090909091,60
62,0.8759999999999999,0.693,0.043,0.000453,0.10800000000000001,0.0327,0.9129999999999999,0.7879920322938885,0.5364930634523538,1.0,0.09090909090909091,41
63,0.733,0.833,0.0539,0.0237,0.0015,0.16699999999999998,0.741,0.820039133423822,0.5821605640209234,0.9090909090909091,0.0,41
64,0.46399999999999997,0.34700000000000003,0.252,0.9009999999999999,0.741,0.451,0.252,0.6340848595956213,0.5376120081874005,0.45454545454545453,0.09090909090909091,59
65,0.857,0.762,0.0535,0.00339,0.31,0.0643,0.804,0.8206384741490244,0.5458721855810781,0.09090909090909091,0.09090909090909091,44
66,0.774,0.889,0.0696,0.045,2.69e-06,0.131,0.8029999999999999,0.8126707680375117,0.6048942460768706,0.0,0.09090909090909091,13
67,0.701,0.855,0.0307,7.8e-05,0.204,0.102,0.9670000000000001,0.8294699360115637,0.5595042074141461,1.0,0.09090909090909091,41
68,0.695,0.857,0.0468,0.00179,0.718,0.128,0.251,0.8014595709425515,0.5457903115760746,0.18181818181818182,0.09090909090909091,48
69,0.825,0.7440000000000001,0.0564,0.0638,0.00214,0.10300000000000001,0.823,0.815667471663523,0.545863088469411,0.5454545454545454,0.0,67
70,0.637,0.6629999999999999,0.165,0.043,3.32e-05,0.14300000000000002,0.741,0.7995381550882265,0.5459722538094156,0.7272727272727273,0.09090909090909091,83
71,0.6609999999999999,0.914,0.0768,0.00161,0.00101,0.40700000000000003,0.893,0.7936328861781452,0.5638116897884922,0.45454545454545453,0.09090909090909091,9
72,0.685,0.909,0.043,0.16899999999999998,0.000663,0.9420000000000001,0.9620000000000001,0.7977225052442313,0.5457266317944053,0.0,0.09090909090909091,80
73,0.75,0.7929999999999999,0.261,0.00838,0.00793,0.316,0.723,0.8031165717710519,0.5366477143506937,0.8181818181818182,0.09090909090909091,53
74,0.77,0.721,0.0532,0.0138,0.505,0.0968,0.366,0.7910063635882882,0.5458085057994088,0.0,0.09090909090909091,60
75,0.863,0.752,0.0507,0.00352,0.47100000000000003,0.0357,0.716,0.785048211673042,0.5548100977939504,1.0,0.0,54
76,0.7879999999999999,0.813,0.0891,0.33,0.0394,0.115,0.643,0.7867933508434839,0.5641801228110075,0.0,0.0,2
77,0.574,0.941,0.111,0.0193,0.000182,0.0462,0.716,0.8675809550670732,0.6141414600864226,0.6363636363636364,0.09090909090909091,9
78,0.7709999999999999,0.67,0.0732,0.0421,0.00825,0.0978,0.7020000000000001,0.8196513247192795,0.5594496247441437,0.9090909090909091,0.0,70
79,0.778,0.818,0.0398,0.11199999999999999,0.000801,0.11699999999999999,0.97,0.8221191982936417,0.5548510347964521,0.8181818181818182,0.0,41
80,0.787,0.9059999999999999,0.0676,0.0563,0.175,0.228,0.644,0.8130233214052778,0.5458949283602457,0.6363636363636364,0.09090909090909091,54
81,0.6709999999999999,0.838,0.0578,0.221,0.0135,0.322,0.691,0.8217490172574874,0.5686377075278599,0.6363636363636364,0.09090909090909091,9
82,0.8540000000000001,0.795,0.0628,0.134,0.0122,0.0691,0.894,0.8254508276190308,0.5457903115760746,0.8181818181818182,0.0,41
83,0.9329999999999999,0.522,0.19399999999999998,0.0184,0.34600000000000003,0.0881,0.45,0.7690599164448518,0.5277643848078235,0.18181818181818182,0.09090909090909091,60
84,0.87,0.56,0.0899,0.0193,0.00103,0.11199999999999999,0.213,0.7873221808951331,0.5003229474641802,0.18181818181818182,0.09090909090909091,22
85,0.7859999999999999,0.66,0.0948,0.0377,0.00659,0.0723,0.63,0.8105025648257504,0.5730452581305435,0.36363636363636365,0.0,83
86,0.863,0.777,0.0491,0.00336,0.465,0.0364,0.708,0.7993971337411201,0.5548191949056175,1.0,0.0,54
87,0.7909999999999999,0.83,0.0909,0.331,0.0359,0.114,0.63,0.8009131132225141,0.564070957471003,0.0,0.0,2
88,0.575,0.9490000000000001,0.11,0.0181,0.00039,0.0454,0.7390000000000001,0.881965132471928,0.614127814418922,0.6363636363636364,0.09090909090909091,9
89,0.7709999999999999,0.708,0.0694,0.0369,0.0105,0.1,0.701,0.8340531297925223,0.559390493518308,0.45454545454545453,0.0,83
90,0.7759999999999999,0.8390000000000001,0.0395,0.121,0.000724,0.121,0.97,0.8365738863720495,0.5548737775756197,0.8181818181818182,0.0,41
91,0.7909999999999999,0.919,0.0649,0.0563,0.19399999999999998,0.226,0.6629999999999999,0.8272312221262493,0.545767568796907,0.6363636363636364,0.09090909090909091,54
92,0.675,0.856,0.0595,0.217,0.0123,0.322,0.7,0.8356219922790812,0.5686695474186946,0.6363636363636364,0.09090909090909091,9
93,0.856,0.8109999999999999,0.0623,0.14300000000000002,0.0121,0.0691,0.8809999999999999,0.8395882176664492,0.5457948601319081,0.8181818181818182,0.0,41
